review,sentiment,length
So there is no way for me to plug it in here in the US unless I go by a converter.,0,82
"Good case, Excellent value.",1,27
Great for the jawbone.,1,22
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,79
The mic is great.,1,17
I have to jiggle the plug to get it to line up right to get decent volume.,0,74
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,111
If you are Razr owner...you must have this!,1,43
"Needless to say, I wasted my money.",0,35
What a waste of money and time!.,0,32
And the sound quality is great.,1,31
He was very impressed when going from the original battery to the extended battery.,1,83
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,114
Very good quality though,1,24
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,73
Highly recommend for any one who has a blue tooth phone.,1,56
I advise EVERYONE DO NOT BE FOOLED!,0,35
So Far So Good!.,1,16
Works great!.,1,13
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,87
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,93
I bought this to use with my Kindle Fire and absolutely loved it!,1,65
The commercials are the most misleading.,0,40
I have yet to run this new battery below two bars and that's three days without charging.,1,89
I bought it for my mother and she had a problem with the battery.,0,65
Great Pocket PC / phone combination.,1,36
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,92
I didn't think that the instructions provided were helpful to me.,0,65
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,85
Doesn't hold charge.,0,20
"This is a simple little phone to use, but the breakage is unacceptible.",0,71
This product is ideal for people like me whose ears are very sensitive.,1,71
It is unusable in a moving car at freeway speed.,0,48
I have two more years left in this contract and I hate this phone.,0,66
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,104
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,115
It has kept up very well.,1,25
Poor Talk Time Performance.,0,27
The case is great and works fine with the 680.,1,46
worthless product.,0,18
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,92
I was not impressed by this product.,0,36
Nice headset priced right.,1,26
I only hear garbage for audio.,0,30
Excellent bluetooth headset.,1,28
It has all the features I want,1,30
Who in their right mind is gonna buy this battery?.,0,51
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,93
This case seems well made.,1,26
Disappointed with battery.,0,26
Not loud enough and doesn't turn on like it should.,0,51
good protection and does not make phone too bulky.,1,50
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,102
This phone is pretty sturdy and I've never had any large problems with it.,1,74
I love this thing!,1,18
Everything about it is fine and reasonable for the price i.e.,1,61
VERY DISAPPOINTED.,0,18
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,101
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,116
The buttons for on and off are bad.,0,35
Essentially you can forget Microsoft's tech support.,0,52
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,78
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,132
Buy a different phone - but not this.,0,37
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,89
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,149
"A week later after I activated it, it suddenly died.",0,52
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,103
Great for iPODs too.,1,20
This device is great in several situations:1.),1,46
Mic Doesn't work.,0,17
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,102
Great choice!,1,13
Nice docking station for home or work.,1,38
This is a beautiful phone.,1,26
Love this product.,1,18
Do Not Buy for D807...wrongly advertised for D807.,0,50
This is a great little item.,1,28
"I love this phone , It is very handy and has a lot of features .",1,64
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,68
I wear it everyday and it holds up very well.,1,45
Not a good bargain.,0,19
"Well packaged, arrived on time, and works as intended.",1,54
The battery runs down quickly.,0,30
"This item worked great, but it broke after 6 months of use.",0,59
The headsets are easy to use and everyone loves them.,1,53
This phone works great.,1,23
The construction of the headsets is poor.,0,41
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,83
The phone loads super!,1,22
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,125
Made very sturdy.,1,17
Worked great!.,1,14
The ear buds only play music in one ear.,0,40
Dont waste your money...,0,24
Will order from them again!,1,27
If you plan to use this in a car forget about it.,0,49
I found this product to be waaay too big.,0,41
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,148
I'm very disappointed with my decision.,0,39
Integrated seamlessly with the Motorola RAZR phone.,1,51
"Buyer Beware, you could flush money right down the toilet.",0,58
Definitely a bargain.,1,21
